"year" "LCOI_G" "LCOI_D" "LCOI_M"
1993 0.27623230525 0.214985599666667 0.227847407839167
1994 0.27623230525 0.214985599666667 0.227847407839167
1995 0.27623230525 0.214985599666667 0.227847407839167
1996 0.27623230525 0.214985599666667 0.227847407839167
1997 0.27623230525 0.214985599666667 0.227847407839167
1998 0.248188088 0.214985599666667 0.221958122216667
1999 0.17748176 0.224973272 0.21500005448
2000 0.353204026 0.204525594 0.23574806472
2001 0.326055347 0.215457933 0.23868338994
2002 0.380833784 0.217965228 0.25216762476
2003 0.419671484 0.2521765 0.28735044664
2004 0.482787642 0.206148759 0.26424292443
2005 0.412823141 0.249547968 0.28383575433
2006 0.308614322 0.243224849 0.25695663833
2007 0.569164265 0.3399 0.38804549565
2008 0.459970465 0.251976083 0.29565490322
2009 0.586457965 0.283418434 0.34705673551
2010 0.57805813 0.33345968 0.3848253545
2011 0.557524215 0.476419706 0.49345165289
2012 0.546625339 0.289361439 0.343386858
2013 0.502651561 0.324620573 0.36200708048
2014 0.560974235 0.277781182 0.33725172313
2015 0.486616697 0.30834677 0.34578345467
